Taxon	Species	Genus	Family	Museum Number	Locality	Formation	Age		Lithology	Grain Size	Specimen Info. I eventually stopped recording this.	Publication. I also eventually stopped recording this.	Notes	Preservational State/Notes	More Notes	Strat Citation		Subperiod	*For questions or copies of photographs corresponding to specimens contact J. Thompson
Archaeocidaris marmorcataractensis	marmorcataractensis	Archaeocidaris	Archaeocidaridae	TMM NPL64598 	"Rough Creek, South of San Saba, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Whole Test	Thompson et al. 2015				"Wood, 2013, Thesis"		Pennsylvanian	
Archaeocidaris marmorcataractensis	marmorcataractensis	Archaeocidaris	Archaeocidaridae	TMM NPL1464 	"Rough Creek, South of San Saba, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Disarticulated test	Thompson et al. 2015				"Wood, 2013, Thesis"		Pennsylvanian	
Archaeocidaris marmorcataractensis	marmorcataractensis	Archaeocidaris	Archaeocidaridae	TMM NPL1465 	"Rough Creek, South of San Saba, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Disarticulated test	Thompson et al. 2015				"Wood, 2013, Thesis"		Pennsylvanian	
Archaeocidaris marmorcataractensis	marmorcataractensis	Archaeocidaris	Archaeocidaridae	TMM NPL1478 	"Rough Creek, South of San Saba, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Disarticulated test	Thompson et al. 2015				"Wood, 2013, Thesis"		Pennsylvanian	
Archaeocidaris marmorcataractensis?	marmorcataractensis	Archaeocidaris	Archaeocidaridae	TMM NPL1491	"Rough Creek, South of San Saba, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Whole Test	None				"Wood, 2013, Thesis"		Pennsylvanian	
Proterocidaris belli	belli	Proterocidaris	Proterocidaridae	TMM 12092	"Bluff Creek, Southwest of Sloan Communty, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Whole Test	"Kier, 1957"				"Wood, 2013, Thesis"		Pennsylvanian	
Proterocidaris belli	belli	Proterocidaris	Proterocidaridae	TMM 12093	"Bluff Creek, Southwest of Sloan Communty, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Whole Test	"Kier, 1957"				"Wood, 2013, Thesis"		Pennsylvanian	
Proterocidaris belli	belli	Proterocidaris	Proterocidaridae	TMM 12091.1	"Bluff Creek, Southwest of Sloan Communty, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Whole Test	"Kier, 1957"				"Wood, 2013, Thesis"		Pennsylvanian	
Proterocidaris belli	belli	Proterocidaris	Proterocidaridae	TMM 12091.2	"Bluff Creek, Southwest of Sloan Communty, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Whole Test	"Kier, 1957"				"Wood, 2013, Thesis"		Pennsylvanian	
Proterocidaris belli	belli	Proterocidaris	Proterocidaridae	TMM 12089.1	"Bluff Creek, Southwest of Sloan Communty, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Whole Test	"Kier, 1957"				"Wood, 2013, Thesis"		Pennsylvanian	
Proterocidaris belli	belli	Proterocidaris	Proterocidaridae	TMM 12089.2	"Bluff Creek, Southwest of Sloan Communty, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Incomplete Individual	"Kier, 1957"				"Wood, 2013, Thesis"		Pennsylvanian	
Proterocidaris belli	belli	Proterocidaris	Proterocidaridae	TMM 12090	"Bluff Creek, Southwest of Sloan Communty, San Saba County, Texas"	Marble Falls Formation	Bashkirian-Moscovian		Carbonate	Fine Grained	Incomplete Individual	"Kier, 1957"				"Wood, 2013, Thesis"		Pennsylvanian	
