Taxon,Species,Genus,Family,Museum Number,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Formation_Notes,Age,max_stage,min_stage,Original Order,Finalised_lith,Lithology,Finalised_grainsize,Grain Size,Specimen Info. I eventually stopped recording this.,Publication. I also eventually stopped recording this.,Notes,Preservational State/Notes,More Notes,Strat Citation,,Subperiod,Preservation Score,Description,Period,x,Museum,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidarid indet. (Archaeocidaris sp.),?,?,Archaeocidaridae,E 41892-4,"150 KM (93 miles) N.E. of the northern point of Lake Titicaca, Peru",South America,Peru,-13.739368,-68.358395,Degrees,,,,?,,,,267,,?,,?,,,,,,,,?,1,(spines),Mississippian/Pennsylvanian,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidarid indet. (Archaeocidaris sp.),?,?,Archaeocidaridae,E 41895,150 KM NE of the northeaster point of Lake Titicaca Peru,South America,Peru,-13.739368,-68.358395,Degrees,Copacabana Group,,,Lower Permian Wolfcamp Series Copacabana group,Cisuralian,Asselian,Kungurian,281,,?,,?,,,,,,"Pasquo and Grader, 2012",,NA,1,(interambulacral plate),Permian,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achaeocidaris sp.,sp.,Archaeocidaris,Archaeocidaridae,AMNH F1 34128-34130,"Havienda Tio, East Slope of Cilcanota Valley, About 1 KM SE of Pillahuara, 20 KM E of Cuzco, AMNH Loc 295",South America,Peru,-13.321014,-72.095631,Degrees,Copacabana group,,,Copacabana group,,,,697,,?,,?,,,,,,,,,1,"(ambulacra, interambulacral plate + spine)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diademopsis ex.gr. heberti,ex. gr. heberti,Diademopsis,Pedinidae,USNM 465264,"Huaricolca near Tarma, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2791,,,,,,,,,,,,,3,"ambs, interambs",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus? regularis,regularis,Zardinechinus,Triadocidaridae,USNM 398502,"Huaricolca near Tarma, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2802,,,,,,,,,,,,,4,"ambs, interambs",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus stanleyi,stanleyi,Zardinechinus,Triadocidaridae,USNM 398511,"Huaricolca near Tarma, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2813,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus stanleyi,stanleyi,Zardinechinus,Triadocidaridae,USNM 398512,"Huaricolca near Tarma, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2814,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triassicidaris peruviensis,peruviensis,Triassicidaris,Cidaridae,USNM 398514,"Huaricolca near Tarma, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2817,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triassicidaris peruviensis,peruviensis,Triassicidaris,Cidaridae,USNM 398516,"Huaricolca near Tarma, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2820,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus regularis,regularis,Zardinechinus,Triadocidaridae,USNM 465260,"Huaricolca, Cerro de Pasco, Peru",South America,Peru,-11.50761,-75.651549,Minutes,,,,"Late Triassic, Norian",Norian,Norian,Norian,2812,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
