"","Bin size","Preservation Score","vs.","Rho","p"
"1","stage","1","Macrostrat Carb (count)",0.25,0.13081859
"2","stage","2","Macrostrat Carb (count)",0.505,0.0012098329
"3","stage","3","Macrostrat Carb (count)",0.313,0.055980543
"4","stage","4","Macrostrat Carb (count)",0.437,0.0060409542
"5","stage","5","Macrostrat Carb (count)",0.362,0.025660895
"6","stage","1","Macrostrat sili (count)",0.291,0.076746819
"7","stage","2","Macrostrat sili (count)",0.615,4.0483959e-05
"8","stage","3","Macrostrat sili (count)",0.489,0.0018465717
"9","stage","4","Macrostrat sili (count)",0.624,2.8181008e-05
"10","stage","5","Macrostrat sili (count)",0.548,0.00036573037
"11","stage","1","Macrostrat Carb (area)",0.284,0.084282242
"12","stage","2","Macrostrat Carb (area)",0.395,0.014075341
"13","stage","3","Macrostrat Carb (area)",0.253,0.12544772
"14","stage","4","Macrostrat Carb (area)",0.358,0.02751953
"15","stage","5","Macrostrat Carb (area)",0.256,0.12073345
"16","stage","1","Macrostrat sili (area)",0.291,0.076746819
"17","stage","2","Macrostrat sili (area)",0.615,4.0483959e-05
"18","stage","3","Macrostrat sili (area)",0.489,0.0018465717
"19","stage","4","Macrostrat sili (area)",0.624,2.8181008e-05
"20","stage","5","Macrostrat sili (area)",0.548,0.00036573037
