"","Bin size","Preservation Score","vs.","Rho","p"
"1","stage","1","diversity (species)",0.629,0.002956
"2","stage","2","diversity (species)",0.329,0.15639
"3","stage","3","diversity (species)",0.641,0.0023152
"4","stage","4","diversity (species)",0.723,0.00031517
"5","stage","5","diversity (species)",0.543,0.013407
"6","stage","1","collections (species)",0.753,0.00012568
"7","stage","2","collections (species)",0.572,0.0084188
"8","stage","3","collections (species)",0.649,0.0019546
"9","stage","4","collections (species)",0.591,0.0060825
"10","stage","5","collections (species)",0.237,0.31358
"11","period","1","diversity (species)",0.6,0.35
"12","period","2","diversity (species)",0.9,0.083333
"13","period","3","diversity (species)",0.564,0.32172
"14","period","4","diversity (species)",0.975,0.0048182
"15","period","5","diversity (species)",0.4,0.51667
"16","period","1","collections (species)",0.8,0.13333
"17","period","2","collections (species)",1,0.016667
"18","period","3","collections (species)",0.462,0.43377
"19","period","4","collections (species)",0.821,0.088587
"20","period","5","collections (species)",0.3,0.68333
"21","stage","1","diversity (genera)",0.599,0.0067671
"22","stage","2","diversity (genera)",0.273,0.25858
"23","stage","3","diversity (genera)",0.525,0.021028
"24","stage","4","diversity (genera)",0.622,0.0044948
"25","stage","5","diversity (genera)",0.245,0.31248
"26","stage","1","collections (genera)",0.887,4.2762e-07
"27","stage","2","collections (genera)",0.741,0.00028152
"28","stage","3","collections (genera)",0.336,0.15972
"29","stage","4","collections (genera)",0.614,0.0051997
"30","stage","5","collections (genera)",0.113,0.64639
"31","period","1","diversity (genera)",0.205,0.74058
"32","period","2","diversity (genera)",0.462,0.43377
"33","period","3","diversity (genera)",0.711,0.17862
"34","period","4","diversity (genera)",0.688,0.19889
"35","period","5","diversity (genera)",0.918,0.028008
"36","period","1","collections (genera)",1,0.016667
"37","period","2","collections (genera)",0.9,0.083333
"38","period","3","collections (genera)",0.0513,0.93471
"39","period","4","collections (genera)",0.671,0.21517
"40","period","5","collections (genera)",0.224,0.71769
